"year","firstname","rank","genderindex"
"1880","Lou",79,0.92
"1880","Jean",68,0.86
"1880","Artie",86,0.88
"1880","Alpha",72,0.84
"1880","Sidney",84,0.12
"1880","Leslie",4,0.11
"1880","Dee",65,0.27
"1880","Lacy",18,0.45
"1880","Clair",24,0.34
"1880","Lynn",46,0.17
"1881","Lou",79,0.89
"1881","Jean",68,0.84
"1881","Alpha",72,0.77
"1881","Artie",86,0.71
"1881","Sidney",84,0.12
"1881","Leslie",4,0.12
"1881","Dee",65,0.17
"1882","Lou",79,0.93
"1882","Jean",68,0.84
"1882","Artie",86,0.66
"1882","Alpha",72,0.69
"1882","Donnie",83,0.79
"1882","Dee",65,0.35
"1882","Leslie",4,0.07
"1882","Sidney",84,0.06
"1883","Lou",79,0.92
"1883","Jean",68,0.8
"1883","Alpha",72,0.73
"1883","Artie",86,0.78
"1883","Sidney",84,0.05
"1883","Leslie",4,0.05
"1883","Dee",65,0.2
"1883","Jodie",70,0.48
"1884","Lou",79,0.93
"1884","Jean",68,0.79
"1884","Artie",86,0.77
"1884","Alpha",72,0.67
"1884","Leslie",4,0.1
"1884","Sidney",84,0.06
"1884","Dee",65,0.21
"1884","Tracy",40,0.36
"1885","Lou",79,0.89
"1885","Jean",68,0.83
"1885","Artie",86,0.79
"1885","Alpha",72,0.7
"1885","Tracy",40,0.45
"1885","Leslie",4,0.06
"1885","Sidney",84,0.05
"1885","Courtney",41,0.57
"1885","Dee",65,0.19
"1885","Lacy",18,0.32
"1885","Lynn",46,0.14
"1886","Lou",79,0.92
"1886","Jean",68,0.9
"1886","Artie",86,0.76
"1886","Alpha",72,0.79
"1886","Dee",65,0.28
"1886","Sidney",84,0.05
"1886","Leslie",4,0.04
"1886","Sydney",8,0.38
"1886","Jodie",70,0.4
"1886","Hollie",48,0.4
"1886","Lacy",18,0.32
"1886","Lynn",46,0.13
"1886","Tracy",40,0.22
"1887","Lou",79,0.91
"1887","Jean",68,0.79
"1887","Alpha",72,0.86
"1887","Donnie",83,0.62
"1887","Leslie",4,0.05
"1887","Dee",65,0.14
"1887","Jodie",70,0.53
"1887","Sidney",84,0.04
"1887","Lacy",18,0.35
"1887","Tracy",40,0.24
"1888","Lou",79,0.92
"1888","Jean",68,0.88
"1888","Artie",86,0.78
"1888","Alpha",72,0.84
"1888","Leslie",4,0.08
"1888","Dee",65,0.18
"1888","Jodie",70,0.53
"1888","Sidney",84,0.04
"1888","Tracy",40,0.35
"1888","Hollie",48,0.31
"1888","Lacy",18,0.24
"1888","Sydney",8,0.19
"1888","Courtney",41,0.28
"1889","Jean",68,0.9
"1889","Lou",79,0.82
"1889","Alpha",72,0.84
"1889","Artie",86,0.76
